Order_ID,Order_Date,Customer_ID,Product,Category,Quantity,Sales,Discount,Profit,Region,City
ORD00253,2025-01-20,CUST0234,Printer,Electronics,5,956.68,0.0,225.18,North,Delhi
ORD00564,2025-01-20,CUST0186,Pen Set,Stationery,1,7.18,0.05,2.38,East,Kolkata
ORD00461,2025-01-20,CUST0137,Backpack,Bags,4,255.78,0.1,57.79,East,Ranchi
ORD00706,2025-01-20,CUST0200,Notebook,Stationery,5,53.3,0.05,14.32,West,Pune
ORD00738,2025-01-20,CUST0146,Notebook,Stationery,4,41.42,0.15,10.88,South,Hyderabad
ORD00766,2025-01-21,CUST0248,Mouse,Accessories,4,117.37,0.05,36.41,West,Mumbai
ORD00475,2025-01-21,CUST0219,Monitor,Electronics,3,540.55,0.1,70.49,East,Patna
ORD00175,2025-01-21,CUST0064,Laptop,Electronics,3,1430.31,0.2,90.78,East,Kolkata
ORD00283,2025-01-21,CUST0224,Mouse,Accessories,1,27.8,0.05,6.12,North,Ghaziabad
ORD00043,2025-01-22,CUST0079,Pen Set,Stationery,3,20.61,0.15,3.49,South,Bengaluru
ORD00627,2025-01-23,CUST0214,Keyboard,Accessories,3,151.68,0.0,37.65,West,Surat
ORD00540,2025-01-24,CUST0011,Monitor,Electronics,5,1021.61,0.05,157.46,North,Ghaziabad
ORD00300,2025-01-24,CUST0237,Desk,Furniture,2,413.76,0.2,43.91,North,Ghaziabad
ORD00476,2025-01-24,CUST0003,Keyboard,Accessories,4,162.48,0.2,1.98,West,Ahmedabad
ORD00492,2025-01-24,CUST0230,Laptop,Electronics,3,1664.79,0.15,175.45,West,Ahmedabad
ORD00949,2025-01-24,CUST0198,Monitor,Electronics,4,918.54,0.05,167.29,North,Ghaziabad
ORD00013,2025-01-25,CUST0221,Pen Set,Stationery,2,16.03,0.0,5.8,East,Patna
ORD00351,2025-01-25,CUST0012,Keyboard,Accessories,5,261.77,0.1,29.42,West,Pune
ORD00202,2025-01-25,CUST0222,Desk,Furniture,1,180.14,0.2,24.46,East,Patna
ORD00467,2025-01-25,CUST0170,Webcam,Accessories,3,222.09,0.15,29.06,North,Lucknow
ORD00965,2025-01-25,CUST0194,Headphones,Accessories,3,219.18,0.05,59.78,North,Delhi
ORD00677,2025-01-26,CUST0049,Desk,Furniture,5,1083.48,0.1,185.24,East,Kolkata
ORD00616,2025-01-27,CUST0222,Printer,Electronics,3,527.21,0.1,140.74,North,Delhi
ORD00743,2025-01-27,CUST0169,Laptop,Electronics,1,517.21,0.2,94.51,West,Ahmedabad
ORD00783,2025-01-28,CUST0166,Bookshelf,Furniture,4,484.61,0.0,94.72,South,Kochi
ORD00643,2025-01-29,CUST0236,Pen Set,Stationery,1,6.79,0.2,0.88,North,Jaipur
ORD00402,2025-01-29,CUST0196,Tablet,Electronics,2,535.58,0.05,96.82,North,Ghaziabad
ORD00821,2025-01-29,CUST0233,Printer,Electronics,2,329.53,0.1,58.21,North,Lucknow
ORD00298,2025-01-29,CUST0164,Keyboard,Accessories,1,48.3,0.1,9.09,North,Delhi
ORD00276,2025-01-29,CUST0036,Printer,Electronics,1,168.91,0.1,32.29,North,Ghaziabad
ORD00450,2025-01-30,CUST0207,Notebook,Stationery,3,33.48,0.0,7.6,West,Ahmedabad
ORD00755,2025-01-30,CUST0241,Mouse,Accessories,3,81.61,0.0,20.9,South,Hyderabad
ORD00172,2025-01-30,CUST0095,Keyboard,Accessories,5,264.57,0.0,76.62,North,Jaipur
ORD00758,2025-02-01,CUST0098,Office Chair,Furniture,3,478.32,0.05,158.7,West,Surat
ORD00243,2025-02-01,CUST0181,Tablet,Electronics,4,1004.35,0.15,54.23,East,Bhubaneswar
ORD00145,2025-02-01,CUST0123,Desk,Furniture,5,1130.43,0.05,163.25,South,Bengaluru
ORD00958,2025-02-01,CUST0101,Smartphone,Electronics,3,1332.11,0.1,365.79,North,Jaipur
ORD00773,2025-02-02,CUST0210,Printer,Electronics,1,174.8,0.1,21.93,North,Jaipur
ORD00990,2025-02-03,CUST0124,Bookshelf,Furniture,3,375.83,0.0,101.24,East,Kolkata
ORD00805,2025-02-03,CUST0049,Webcam,Accessories,5,427.97,0.05,63.49,West,Surat
ORD00414,2025-02-04,CUST0090,Printer,Electronics,4,724.31,0.0,239.09,North,Jaipur
ORD00269,2025-02-05,CUST0240,Laptop,Electronics,1,607.1,0.15,30.77,East,Patna
ORD00318,2025-02-05,CUST0210,Bookshelf,Furniture,2,247.93,0.1,31.33,North,Lucknow
ORD00358,2025-02-05,CUST0136,Mouse,Accessories,4,123.4,0.0,30.18,West,Pune
ORD00023,2025-02-06,CUST0132,Laptop,Electronics,2,1405.41,0.0,292.43,North,Delhi
ORD00163,2025-02-06,CUST0102,Tablet,Electronics,5,1269.34,0.15,102.68,East,Bhubaneswar
ORD00757,2025-02-08,CUST0164,Pen Set,Stationery,2,14.58,0.05,3.04,South,Bengaluru
ORD00534,2025-02-08,CUST0229,Keyboard,Accessories,3,142.2,0.2,29.28,South,Chennai
ORD00508,2025-02-08,CUST0048,Monitor,Electronics,2,413.72,0.05,58.05,West,Pune
ORD00418,2025-02-08,CUST0141,Keyboard,Accessories,3,177.8,0.0,61.84,North,Delhi
ORD00042,2025-02-08,CUST0242,Keyboard,Accessories,5,216.82,0.2,48.26,South,Kochi
ORD00027,2025-02-08,CUST0114,Monitor,Electronics,2,370.93,0.1,77.26,South,Kochi
ORD00542,2025-02-09,CUST0133,Desk,Furniture,4,927.99,0.05,146.87,South,Kochi
ORD00928,2025-02-09,CUST0235,Tablet,Electronics,5,1208.46,0.1,363.15,West,Pune
ORD00063,2025-02-09,CUST0183,Keyboard,Accessories,5,253.77,0.1,63.46,South,Hyderabad
ORD00632,2025-02-09,CUST0242,Webcam,Accessories,5,444.92,0.0,94.82,North,Jaipur
ORD00724,2025-02-09,CUST0190,Bookshelf,Furniture,5,492.56,0.2,29.23,East,Patna
ORD00806,2025-02-09,CUST0028,Pen Set,Stationery,1,7.77,0.1,1.92,East,Kolkata
ORD00670,2025-02-10,CUST0177,Bookshelf,Furniture,5,615.02,0.0,230.5,West,Pune
ORD00594,2025-02-10,CUST0042,Pen Set,Stationery,5,33.35,0.15,1.9,West,Surat
ORD00630,2025-02-10,CUST0120,Backpack,Bags,2,103.82,0.2,0.26,North,Delhi
ORD00146,2025-02-11,CUST0083,Notebook,Stationery,1,11.26,0.1,2.39,East,Ranchi
ORD00099,2025-02-11,CUST0154,Smartphone,Electronics,4,1710.16,0.05,416.27,East,Patna
ORD00533,2025-02-11,CUST0216,Office Chair,Furniture,4,564.12,0.15,66.96,West,Ahmedabad
ORD00423,2025-02-11,CUST0122,Backpack,Bags,1,61.19,0.0,15.44,East,Bhubaneswar
ORD00882,2025-02-12,CUST0081,Bookshelf,Furniture,1,103.71,0.2,22.82,West,Pune
ORD00353,2025-02-12,CUST0096,Webcam,Accessories,2,148.36,0.05,40.27,South,Hyderabad
ORD00306,2025-02-12,CUST0069,Tablet,Electronics,5,1409.28,0.05,277.96,East,Kolkata
ORD00767,2025-02-13,CUST0227,Headphones,Accessories,4,307.84,0.0,94.86,South,Hyderabad
ORD00653,2025-02-13,CUST0029,Office Chair,Furniture,2,280.73,0.2,9.98,North,Ghaziabad
ORD00325,2025-02-13,CUST0030,Tablet,Electronics,4,1074.18,0.0,210.42,West,Mumbai
ORD00945,2025-02-14,CUST0171,Printer,Electronics,2,304.09,0.15,32.87,West,Surat
ORD00519,2025-02-14,CUST0019,Webcam,Accessories,2,168.61,0.0,52.88,East,Kolkata
ORD00460,2025-02-15,CUST0034,Laptop,Electronics,2,1319.83,0.0,459.71,East,Patna
ORD00778,2025-02-15,CUST0181,Headphones,Accessories,4,270.38,0.0,93.04,South,Bengaluru
ORD00898,2025-02-15,CUST0250,Notebook,Stationery,1,10.5,0.15,1.29,South,Bengaluru
ORD00921,2025-02-15,CUST0006,Smartphone,Electronics,2,983.71,0.0,203.53,East,Patna
ORD00796,2025-02-16,CUST0005,Webcam,Accessories,2,154.9,0.05,32.68,East,Bhubaneswar
ORD00424,2025-02-16,CUST0165,Notebook,Stationery,4,43.11,0.1,7.08,North,Jaipur
ORD00102,2025-02-16,CUST0121,Office Chair,Furniture,5,831.84,0.1,167.9,West,Pune
ORD00914,2025-02-17,CUST0053,Office Chair,Furniture,1,154.57,0.2,30.0,East,Ranchi
ORD00819,2025-02-17,CUST0084,Smartphone,Electronics,4,1634.31,0.15,270.73,West,Mumbai
ORD00834,2025-02-18,CUST0154,Keyboard,Accessories,5,289.65,0.0,99.45,West,Mumbai
ORD00299,2025-02-18,CUST0230,Laptop,Electronics,4,2407.82,0.1,571.85,South,Bengaluru
ORD00916,2025-02-18,CUST0228,Monitor,Electronics,4,835.32,0.0,234.2,North,Ghaziabad
ORD00843,2025-02-19,CUST0201,Laptop,Electronics,3,1780.84,0.0,438.95,East,Kolkata
ORD00135,2025-02-19,CUST0061,Headphones,Accessories,1,72.07,0.0,20.29,North,Ghaziabad
ORD00528,2025-02-20,CUST0051,Printer,Electronics,5,910.22,0.0,333.62,North,Lucknow
ORD00138,2025-02-20,CUST0176,Webcam,Accessories,4,333.57,0.1,40.36,West,Pune
ORD00408,2025-02-21,CUST0087,Desk,Furniture,3,626.91,0.2,79.05,West,Mumbai
ORD00036,2025-02-21,CUST0019,Office Chair,Furniture,1,165.93,0.1,30.87,West,Mumbai
ORD00991,2025-02-21,CUST0064,Laptop,Electronics,1,624.18,0.05,139.79,East,Bhubaneswar
ORD00007,2025-02-21,CUST0098,Monitor,Electronics,2,458.56,0.05,76.71,North,Delhi
ORD00357,2025-02-22,CUST0081,Tablet,Electronics,2,462.6,0.1,61.06,East,Kolkata
ORD00853,2025-02-22,CUST0190,Office Chair,Furniture,2,317.56,0.1,57.12,North,Delhi
ORD00852,2025-02-23,CUST0102,Smartphone,Electronics,2,989.77,0.0,278.79,East,Patna
ORD00917,2025-02-24,CUST0215,Mouse,Accessories,1,26.32,0.1,2.76,North,Jaipur
ORD00721,2025-02-24,CUST0084,Bookshelf,Furniture,5,637.74,0.0,151.24,West,Pune
ORD00620,2025-02-24,CUST0033,Bookshelf,Furniture,3,290.4,0.2,26.4,North,Delhi
ORD00016,2025-02-24,CUST0223,Tablet,Electronics,3,751.41,0.15,113.56,East,Kolkata
ORD00558,2025-02-24,CUST0040,Smartphone,Electronics,2,763.82,0.2,93.79,North,Lucknow
ORD00026,2025-02-25,CUST0064,Headphones,Accessories,1,73.54,0.0,22.96,East,Kolkata
ORD00144,2025-02-25,CUST0116,Headphones,Accessories,4,285.01,0.1,56.16,North,Delhi
ORD00786,2025-02-26,CUST0084,Office Chair,Furniture,2,298.19,0.2,42.82,West,Surat
ORD00407,2025-02-26,CUST0217,Bookshelf,Furniture,1,132.25,0.0,25.99,West,Mumbai
ORD00841,2025-02-27,CUST0020,Keyboard,Accessories,2,108.35,0.0,24.64,South,Chennai
ORD00274,2025-02-27,CUST0009,Notebook,Stationery,4,42.45,0.05,13.06,South,Chennai
ORD00148,2025-02-28,CUST0219,Headphones,Accessories,5,314.3,0.15,26.39,West,Surat
ORD00948,2025-02-28,CUST0159,Printer,Electronics,5,1008.29,0.0,315.04,South,Chennai
ORD00527,2025-02-28,CUST0047,Pen Set,Stationery,2,16.37,0.0,5.39,South,Chennai
ORD00331,2025-02-28,CUST0068,Keyboard,Accessories,5,267.62,0.0,91.15,North,Delhi
ORD00470,2025-02-28,CUST0201,Backpack,Bags,1,57.67,0.15,14.01,South,Kochi
ORD00501,2025-03-01,CUST0195,Printer,Electronics,5,838.88,0.15,163.36,South,Chennai
ORD00937,2025-03-01,CUST0043,Bookshelf,Furniture,3,326.3,0.1,70.92,South,Bengaluru
ORD00909,2025-03-01,CUST0081,Office Chair,Furniture,3,434.63,0.2,82.39,South,Bengaluru
ORD00770,2025-03-02,CUST0055,Laptop,Electronics,1,653.04,0.05,220.96,North,Jaipur
ORD00372,2025-03-02,CUST0198,Desk,Furniture,3,755.97,0.0,155.21,West,Pune
ORD00561,2025-03-02,CUST0192,Keyboard,Accessories,4,163.26,0.2,1.48,West,Ahmedabad
ORD00493,2025-03-03,CUST0239,Tablet,Electronics,4,1064.96,0.0,362.95,East,Bhubaneswar
ORD00831,2025-03-03,CUST0096,Mouse,Accessories,3,74.68,0.2,-1.38,East,Ranchi
ORD00388,2025-03-03,CUST0138,Bookshelf,Furniture,1,128.69,0.0,40.82,North,Ghaziabad
ORD00227,2025-03-04,CUST0069,Headphones,Accessories,5,293.64,0.15,62.75,South,Hyderabad
ORD00953,2025-03-04,CUST0218,Office Chair,Furniture,2,280.15,0.2,5.66,East,Kolkata
ORD00804,2025-03-04,CUST0121,Laptop,Electronics,3,1750.17,0.1,339.66,North,Jaipur
ORD00692,2025-03-04,CUST0178,Mouse,Accessories,4,93.12,0.15,14.88,East,Kolkata
ORD00219,2025-03-05,CUST0133,Mouse,Accessories,2,54.03,0.1,6.38,South,Chennai
ORD00466,2025-03-05,CUST0094,Monitor,Electronics,2,318.34,0.2,31.46,South,Chennai
ORD00734,2025-03-06,CUST0035,Desk,Furniture,4,919.39,0.0,188.89,East,Patna
ORD00143,2025-03-06,CUST0190,Laptop,Electronics,5,2788.49,0.05,812.85,West,Pune
ORD00730,2025-03-07,CUST0219,Pen Set,Stationery,5,40.89,0.0,11.36,West,Mumbai
ORD00272,2025-03-07,CUST0187,Desk,Furniture,1,263.66,0.0,79.47,South,Hyderabad
ORD00580,2025-03-07,CUST0014,Keyboard,Accessories,5,255.91,0.05,48.48,East,Bhubaneswar
ORD00394,2025-03-07,CUST0024,Backpack,Bags,1,61.07,0.0,15.32,West,Mumbai
ORD00041,2025-03-08,CUST0164,Pen Set,Stationery,4,27.63,0.05,7.66,North,Delhi
ORD00969,2025-03-08,CUST0122,Smartphone,Electronics,4,1653.21,0.0,487.73,South,Kochi
ORD00481,2025-03-08,CUST0124,Office Chair,Furniture,3,415.75,0.15,45.54,South,Kochi
ORD00346,2025-03-09,CUST0064,Smartphone,Electronics,1,458.88,0.05,147.14,South,Kochi
ORD00551,2025-03-09,CUST0028,Printer,Electronics,5,737.87,0.15,134.0,West,Surat
ORD00479,2025-03-09,CUST0179,Notebook,Stationery,4,41.37,0.2,7.59,East,Ranchi
ORD00262,2025-03-10,CUST0123,Desk,Furniture,3,699.68,0.05,210.77,West,Mumbai
ORD00547,2025-03-10,CUST0162,Notebook,Stationery,2,22.21,0.0,5.81,East,Kolkata
ORD00857,2025-03-10,CUST0008,Office Chair,Furniture,3,485.74,0.1,83.3,North,Delhi
ORD00604,2025-03-11,CUST0089,Headphones,Accessories,3,202.5,0.0,43.92,West,Pune
ORD00110,2025-03-11,CUST0222,Monitor,Electronics,4,954.25,0.0,265.62,East,Bhubaneswar
ORD00735,2025-03-11,CUST0022,Laptop,Electronics,2,1120.06,0.2,67.79,North,Delhi
ORD00387,2025-03-11,CUST0200,Notebook,Stationery,4,43.17,0.05,6.42,West,Ahmedabad
ORD00398,2025-03-12,CUST0108,Keyboard,Accessories,5,225.77,0.1,56.2,East,Ranchi
ORD00666,2025-03-12,CUST0080,Office Chair,Furniture,2,308.53,0.15,25.4,South,Chennai
ORD00733,2025-03-13,CUST0049,Headphones,Accessories,4,240.27,0.15,55.21,East,Ranchi
ORD00771,2025-03-14,CUST0126,Bookshelf,Furniture,5,705.23,0.0,262.79,East,Bhubaneswar
ORD00301,2025-03-15,CUST0193,Smartphone,Electronics,2,772.18,0.05,234.56,West,Mumbai
ORD00975,2025-03-15,CUST0037,Smartphone,Electronics,3,1229.66,0.05,419.9,West,Ahmedabad
ORD00235,2025-03-15,CUST0051,Tablet,Electronics,3,807.23,0.05,218.27,North,Lucknow
ORD00563,2025-03-16,CUST0121,Webcam,Accessories,4,245.09,0.2,49.57,North,Ghaziabad
ORD00311,2025-03-16,CUST0017,Monitor,Electronics,2,419.66,0.0,136.94,South,Kochi
ORD00612,2025-03-16,CUST0015,Keyboard,Accessories,4,186.26,0.2,26.53,East,Patna
ORD00586,2025-03-16,CUST0205,Monitor,Electronics,2,368.93,0.15,66.76,North,Jaipur
ORD00538,2025-03-16,CUST0189,Tablet,Electronics,2,567.43,0.0,151.41,South,Kochi
ORD00856,2025-03-17,CUST0197,Headphones,Accessories,5,370.41,0.1,73.14,West,Surat
ORD00168,2025-03-17,CUST0061,Desk,Furniture,3,715.11,0.05,125.12,North,Ghaziabad
ORD00911,2025-03-19,CUST0143,Notebook,Stationery,4,46.23,0.0,8.37,West,Ahmedabad
ORD00064,2025-03-19,CUST0060,Keyboard,Accessories,3,169.07,0.05,55.86,South,Hyderabad
ORD00359,2025-03-19,CUST0236,Backpack,Bags,4,257.99,0.05,55.51,North,Ghaziabad
ORD00114,2025-03-19,CUST0127,Mouse,Accessories,4,101.61,0.2,6.3,East,Ranchi
ORD00877,2025-03-19,CUST0192,Pen Set,Stationery,5,38.91,0.0,13.63,East,Kolkata
ORD00626,2025-03-20,CUST0157,Mouse,Accessories,2,52.87,0.15,4.78,North,Lucknow
ORD00813,2025-03-20,CUST0042,Desk,Furniture,2,398.81,0.2,23.29,West,Pune
ORD00073,2025-03-20,CUST0062,Printer,Electronics,1,178.58,0.0,67.14,North,Delhi
ORD00510,2025-03-20,CUST0238,Notebook,Stationery,3,33.76,0.1,9.34,West,Mumbai
ORD00319,2025-03-20,CUST0184,Notebook,Stationery,2,18.44,0.2,2.98,East,Ranchi
ORD00707,2025-03-20,CUST0049,Monitor,Electronics,5,1165.79,0.0,232.01,North,Lucknow
ORD00150,2025-03-20,CUST0176,Webcam,Accessories,4,333.67,0.05,89.62,North,Jaipur
ORD00039,2025-03-21,CUST0070,Pen Set,Stationery,3,25.87,0.0,5.99,North,Ghaziabad
ORD00158,2025-03-21,CUST0041,Tablet,Electronics,3,727.74,0.15,45.66,West,Ahmedabad
ORD00389,2025-03-22,CUST0207,Mouse,Accessories,3,77.19,0.1,21.96,South,Kochi
ORD00661,2025-03-22,CUST0005,Pen Set,Stationery,2,13.07,0.15,2.03,North,Delhi
ORD00094,2025-03-22,CUST0062,Backpack,Bags,2,97.99,0.2,5.87,North,Delhi
ORD00635,2025-03-22,CUST0137,Headphones,Accessories,2,124.99,0.15,23.9,North,Ghaziabad
ORD00567,2025-03-22,CUST0023,Webcam,Accessories,1,76.54,0.05,26.58,South,Chennai
ORD00107,2025-03-23,CUST0080,Pen Set,Stationery,1,6.54,0.2,1.08,East,Kolkata
ORD00328,2025-03-23,CUST0085,Laptop,Electronics,2,986.73,0.2,178.98,West,Mumbai
ORD00208,2025-03-23,CUST0244,Keyboard,Accessories,4,209.55,0.05,39.71,North,Delhi
ORD00690,2025-03-24,CUST0173,Backpack,Bags,1,59.92,0.0,10.86,West,Ahmedabad
ORD00546,2025-03-24,CUST0166,Bookshelf,Furniture,4,414.24,0.2,71.39,West,Mumbai
ORD00503,2025-03-24,CUST0074,Smartphone,Electronics,2,930.65,0.0,316.44,North,Lucknow
ORD00812,2025-03-24,CUST0183,Notebook,Stationery,3,33.9,0.05,10.59,North,Ghaziabad
ORD00509,2025-03-24,CUST0150,Tablet,Electronics,1,240.87,0.1,60.8,North,Lucknow
ORD00815,2025-03-25,CUST0137,Desk,Furniture,3,701.7,0.0,190.88,North,Jaipur
ORD00265,2025-03-26,CUST0084,Pen Set,Stationery,5,31.97,0.15,4.61,North,Delhi
ORD00485,2025-03-26,CUST0020,Backpack,Bags,2,118.21,0.15,8.29,North,Delhi
ORD00338,2025-03-27,CUST0022,Printer,Electronics,4,712.75,0.1,151.45,East,Ranchi
ORD00550,2025-03-27,CUST0186,Monitor,Electronics,5,1127.11,0.0,313.16,East,Bhubaneswar
ORD00415,2025-03-27,CUST0227,Keyboard,Accessories,1,48.89,0.1,10.65,North,Delhi
ORD00597,2025-03-27,CUST0102,Laptop,Electronics,3,1622.62,0.2,332.61,South,Chennai
ORD00374,2025-03-27,CUST0095,Smartphone,Electronics,5,1947.45,0.05,324.15,East,Ranchi
ORD00167,2025-03-28,CUST0020,Desk,Furniture,3,557.51,0.2,79.02,North,Lucknow
ORD00290,2025-03-28,CUST0188,Desk,Furniture,4,789.76,0.2,80.83,West,Ahmedabad
ORD00339,2025-03-28,CUST0200,Backpack,Bags,3,186.22,0.0,50.74,North,Ghaziabad
ORD00776,2025-03-28,CUST0179,Laptop,Electronics,1,620.61,0.0,141.81,South,Hyderabad
ORD00056,2025-03-28,CUST0169,Printer,Electronics,4,708.03,0.1,139.85,West,Surat
ORD00933,2025-03-29,CUST0168,Notebook,Stationery,5,54.07,0.0,19.28,North,Lucknow
ORD00720,2025-03-29,CUST0073,Office Chair,Furniture,4,698.61,0.0,201.03,North,Delhi
ORD00846,2025-03-29,CUST0231,Smartphone,Electronics,5,2347.12,0.0,439.26,North,Delhi
ORD00165,2025-03-29,CUST0206,Backpack,Bags,3,191.3,0.0,35.73,East,Ranchi
ORD00600,2025-03-29,CUST0008,Monitor,Electronics,4,651.4,0.2,60.79,South,Hyderabad
ORD00213,2025-03-30,CUST0231,Backpack,Bags,2,120.53,0.0,44.02,West,Surat
ORD00199,2025-03-31,CUST0213,Bookshelf,Furniture,1,124.64,0.05,21.95,West,Pune
ORD00054,2025-03-31,CUST0158,Desk,Furniture,4,835.64,0.2,46.52,South,Chennai
ORD00826,2025-03-31,CUST0143,Pen Set,Stationery,1,7.4,0.1,1.85,East,Kolkata
ORD00406,2025-04-01,CUST0236,Office Chair,Furniture,5,955.16,0.0,297.86,North,Jaipur
ORD00496,2025-04-01,CUST0178,Desk,Furniture,5,1171.66,0.1,161.14,North,Lucknow
ORD00295,2025-04-02,CUST0028,Webcam,Accessories,1,76.78,0.15,8.6,West,Ahmedabad
ORD00829,2025-04-02,CUST0126,Keyboard,Accessories,1,45.46,0.2,6.96,West,Surat
ORD00376,2025-04-02,CUST0239,Laptop,Electronics,1,569.09,0.1,60.68,North,Ghaziabad
ORD00317,2025-04-03,CUST0175,Bookshelf,Furniture,1,103.87,0.15,3.74,East,Patna
ORD00746,2025-04-03,CUST0205,Tablet,Electronics,2,562.06,0.05,167.29,East,Patna
ORD00753,2025-04-03,CUST0081,Headphones,Accessories,5,376.5,0.0,92.04,East,Bhubaneswar
ORD00155,2025-04-03,CUST0070,Monitor,Electronics,5,937.99,0.2,148.34,East,Kolkata
ORD00608,2025-04-04,CUST0035,Bookshelf,Furniture,5,606.74,0.05,101.74,West,Ahmedabad
ORD00986,2025-04-04,CUST0066,Headphones,Accessories,1,75.63,0.0,24.43,West,Mumbai
ORD00930,2025-04-04,CUST0216,Keyboard,Accessories,1,45.42,0.2,8.18,North,Delhi
ORD00576,2025-04-04,CUST0243,Desk,Furniture,3,645.5,0.05,146.26,South,Kochi
ORD00671,2025-04-05,CUST0219,Bookshelf,Furniture,5,549.05,0.15,64.65,East,Bhubaneswar
ORD00669,2025-04-05,CUST0007,Headphones,Accessories,3,237.56,0.0,85.2,West,Surat
ORD00814,2025-04-05,CUST0053,Monitor,Electronics,3,519.09,0.15,108.65,North,Delhi
